Entity,Year,Unsafe_water_source,Unsafe_sanitation,Household_air_pollution_from_solid_fuels,Child_wasting,Low_birth_weight_for_gestation,Secondhand_smoke,Alcohol_use,Drug_use,Diet_low_in_fruits,Unsafe_sex,High_fasting_plasma_glucose,High_body_mass_index,High_systolic_blood_pressure,Smoking,Iron_deficiency,Vitamin_A_deficiency,Low_bone_mineral_density,Air_pollution,Outdoor_air_pollution,Diet_high_in_sodium,Diet_low_in_whole_grains
Albania,1990,50.12576656,30.95005744,1337.654648,1022.820898,636.1026287,707.8604007,454.2170912,53.41812691,996.6545142,42.70943242,1178.611796,1189.815914,3897.33467,2460.273254,6.050930992,278.467052,26.99420343,1938.678869,626.95,1816.422489,1232.756618
Albania,1991,51.04275046,31.82805143,1392.734624,1006.071416,621.6676297,741.1124253,496.98117,58.20636347,1052.881129,43.72296911,1244.389555,1263.749724,4091.946484,2592.060349,5.43804154,181.8788799,29.5776083,2021.316572,654.88,1870.857333,1302.835657
Albania,1992,48.82450206,30.76489637,1361.996449,980.3009743,609.2910193,723.8813611,516.220719,59.73207967,1040.591868,42.79547479,1235.691654,1264.843768,4032.251083,2549.67171,4.589590484,175.7698204,28.14796908,1971.115037,634.39,1806.213616,1287.072351
Albania,1993,43.78624581,27.7309745,1304.792371,933.0093359,592.6278753,696.0747971,530.69561,62.66377228,1010.353052,41.22878248,1224.067098,1246.832154,3932.20021,2480.304973,3.898662533,164.9687341,27.40357694,1890.142195,609.17,1660.755772,1253.622846
Albania,1994,53.14651315,33.65350157,1215.52247,866.9100029,572.5703087,657.1539532,537.4816024,67.13927819,972.8798877,40.93977718,1205.693688,1222.491271,3814.499915,2377.562989,3.237905191,155.3189621,27.01677303,1774.624691,581.23,1513.741074,1214.643072
Albania,1995,26.10835197,16.42829199,1182.102319,741.4951084,546.7799663,640.0474349,581.0166718,70.99012915,1004.595869,42.851955,1275.343774,1286.715533,3980.510536,2442.308068,2.807950916,126.1503252,27.70207223,1740.547586,580.21,1499.888318,1271.456002
Albania,1996,20.99524329,13.06012973,1174.91985,635.8547031,517.6400565,638.1568744,645.9167383,74.70707704,1066.592314,45.76794016,1405.642295,1404.031489,4304.398195,2595.63016,2.509972063,107.9039451,28.99055857,1754.374294,601.7,1540.190855,1377.057266
Albania,1997,17.33699472,10.65721622,1136.569996,535.3485974,481.0779711,623.3139454,717.7653532,78.38935879,1101.127537,47.92852986,1514.181191,1497.26766,4504.875045,2704.63705,2.227867602,90.7252943,29.93607843,1727.981255,613.38,1524.307202,1444.269824
Albania,1998,14.38258511,8.654031112,1085.87854,440.1175646,441.9153815,603.7558426,797.7076096,87.24823723,1113.833212,49.22397062,1607.178209,1575.198234,4640.325335,2784.122253,2.175972643,73.33635569,30.96299019,1684.404653,619.67,1482.12025,1491.271493
Albania,1999,13.00488193,7.549785754,1041.806268,378.3711288,486.9375141,594.2638393,846.7950817,89.37915044,1123.635884,50.99718733,1696.513198,1642.042881,4765.77162,2824.513203,1.901685583,62.03024727,31.26506077,1651.240183,629.68,1424.671827,1526.866006
Albania,2000,11.04585179,6.239348777,994.4790733,316.7716746,352.5716906,571.6098384,864.9126283,90.45705982,1105.976129,50.7741744,1765.825448,1687.189409,4874.199069,2845.78146,1.734198778,51.5988777,31.27504448,1601.176755,626.14,1379.661243,1557.432092
Albania,2001,9.12274643,4.893006129,938.4636297,224.6609055,312.1388784,545.5156327,899.8726851,95.91754695,1080.0907,51.03614495,1824.030226,1725.57029,4978.590098,2870.050531,1.521044021,35.77067678,32.53264679,1546.512344,626.39,1335.490315,1584.162988
Albania,2002,7.837641023,3.982495966,921.31518,176.7143501,280.0504789,541.2473971,959.5573236,99.8563425,1084.03692,52.69696459,1936.312626,1809.276208,5236.569207,2971.644895,1.446474484,28.03793313,33.54061454,1553.416625,649.88,1337.471245,1661.439104
Albania,2003,6.905142362,3.318331288,918.2659699,140.5933922,253.8136763,542.0109882,1025.535364,102.2875202,1089.827003,54.16662537,2055.681559,1905.648472,5525.12688,3081.14926,1.352082633,22.1457349,34.33482033,1576.379509,675.57,1348.388066,1749.47102
Albania,2004,6.346128379,2.904865865,896.6381554,112.3987149,229.7729389,537.0967002,1082.407296,103.109659,1082.915358,55.85658006,2143.957778,1974.932361,5733.766823,3157.682348,1.301298711,17.62457874,35.42146754,1577.259504,697.63,1380.062412,1809.481572
Albania,2005,5.94230829,2.672627021,866.8161777,93.64067291,211.0202254,526.469096,1107.917389,97.99083806,1044.013461,57.86558699,2175.751296,2003.992105,5806.047441,3172.708046,1.321439299,14.46986414,32.87300963,1552.906152,702.31,1382.47461,1829.947574
Albania,2006,5.487749398,2.48343095,822.9791223,79.72736042,193.851506,515.4959629,1133.202645,98.60105227,986.7141521,58.86025001,2179.970862,2016.686021,5824.155185,3175.982353,1.244338455,12.08552117,33.11232137,1517.519881,710.02,1374.888051,1824.978408
Albania,2007,5.238184945,2.400704404,758.2139793,68.06961472,177.083985,492.412679,1143.228294,102.317374,898.4321708,57.88953317,2115.958616,1981.930409,5687.083877,3122.432838,1.099223286,10.12416213,34.25294226,1446.142707,702.47,1332.335987,1768.62992
Albania,2008,5.103618907,2.375428033,738.8803059,62.59380482,166.9293482,497.1036612,1197.083505,104.3715436,862.0534422,58.90957403,2153.705678,2047.609262,5838.923348,3209.823755,1.027224882,9.149744036,37.38382628,1454.805857,730.21,1358.443602,1815.016634
Albania,2009,4.961786538,2.314067051,718.1184455,56.65092845,154.30437,493.5838913,1218.841525,102.3005769,835.8167509,57.89356704,2168.209057,2070.295488,5881.743467,3253.347083,0.921508739,8.218074696,34.69238906,1446.467344,742.45,1360.733283,1828.521501
